cell	CL:0000000
epithelial cell of cornea	CL:0000575
conjunctival and corneal epithelial cells	CL:0000575
Mono/Macro	CL:0000575
monocytes and macrophages	CL:0000575
CEC	CL:0000575
monocyte	CL:0000576
monocytes	CL:0000576
M	CL:0000576
monocytic	CL:0000576
immature monocyte/macrophages	CL:0000576
MOs	CL:0000576
alveolar myeloid cell	CL:0000576
alveolar myeloid cells	CL:0000576
Myeloid monocytes	CL:0000576
monocytic cells	CL:0000576
Ly6Chi monocytes	CL:0000576
monocytic cell	CL:0000576
Monos	CL:0000576
Mono	CL:0000576
MNC	CL:0000576
CD44+ monocytes	CL:0000576
macrophage/monocyte cells	CL:0000576
bone marrow-derived monocytes or macrophages	CL:0000576
MC	CL:0000576
MON	CL:0000576
monocyte cells	CL:0000576
monocyte-macrophage	CL:0000576
monocytes & macrophages	CL:0000576
Mon_Mac	CL:0000576
MO	CL:0000576
circulating monocytes	CL:0000576
granulocytic (G), monocytic (M), erythroid (E), and megakaryocytic (Mk) cells	CL:0000576
G, M, E, and Mk cells	CL:0000576
type EC enteroendocrine cell	CL:0000577
Kulchitsky cell	CL:0000577
enterochromaffin cell	CL:0000577
argentaffin cell	CL:0000577
enterochromaffin cells	CL:0000577
experimentally modified cell in vitro	CL:0000578
border follicle cell	CL:0000579
neutrophilic myelocyte	CL:0000580
Neutrophilic myelocytes	CL:0000580
peritoneal macrophage	CL:0000581
peritoneal immune cells	CL:0000581
neutrophilic metamyelocyte	CL:0000582
juvenile neutrophil	CL:0000582
Neutrophilic metamyelocytes	CL:0000582
alveolar macrophage	CL:0000583
dust cell	CL:0000583
AM	CL:0000583
alveolar macrophages	CL:0000583
alveolar myeloid cell	CL:0000583
alveolar myeloid cells	CL:0000583
lung alveolar macrophages	CL:0000583
AMs	CL:0000583
enterocyte	CL:0000584
enterocytes	CL:0000584
intestinal cell	CL:0000584
intestinal cells	CL:0000584
absorptive and secretory cells	CL:0000584
germ cell	CL:0000586
germ and somatic cell	CL:0000586
cold sensing thermoreceptor cell	CL:0000587
odontoclast	CL:0000588
cochlear inner hair cell	CL:0000589
inner hair cell	CL:0000589
inner ear hair cells	CL:0000589
inner hair cells	CL:0000589
inner HCs	CL:0000589
IHCs	CL:0000589
small luteal cell	CL:0000590
small lutein cell	CL:0000590
theca lutein cell	CL:0000590
warmth sensing thermoreceptor cell	CL:0000591
large luteal cell	CL:0000592
granulosa lutein cell	CL:0000592
androgen secreting cell	CL:0000593
skeletal muscle satellite cell	CL:0000594
satellite cells	CL:0000594
SCs	CL:0000594
muscle satellite cells	CL:0000594
myosatellites	CL:0000594
enucleate erythrocyte	CL:0000595
sexual spore	CL:0000596
meiotically-derived spore	CL:0000596
microconidium	CL:0000597
pyramidal neuron	CL:0000598
projection neuron	CL:0000598
pyramidal cell	CL:0000598
Pyramidal	CL:0000598
Deep and Superficial Pyramidal cells	CL:0000598
excitatory PyCs	CL:0000598
pyramidal neurons	CL:0000598
Pyr cell	CL:0000598
Pyr cells	CL:0000598
PYR	CL:0000598
conidium	CL:0000599
heterokaryon	CL:0000600
cochlear outer hair cell	CL:0000601
outer hair cells	CL:0000601
outer HCs	CL:0000601
OHCs	CL:0000601
OHC	CL:0000601
pressoreceptor cell	CL:0000602
dikaryon	CL:0000603
retinal rod cell	CL:0000604
rod photoreceptors	CL:0000604
rod PR	CL:0000604
rod and S-cone photoreceptors	CL:0000604
rods	CL:0000604
rod	CL:0000604
rod photorecetpor	CL:0000604
rod photoreceptor	CL:0000604
rod/cone photoreceptors	CL:0000604
fungal asexual spore	CL:0000605
macroconidium	CL:0000606
ascospore	CL:0000607
zygospore	CL:0000608
vestibular hair cell	CL:0000609
vestibular receptor cell	CL:0000609
eosinophil progenitor cell	CL:0000611
eosinophilic myelocyte	CL:0000612
basophil progenitor cell	CL:0000613
BaP	CL:0000613
basophil progenitors	CL:0000613
basophilic myelocyte	CL:0000614
basidiospore	CL:0000615
GABAergic neuron	CL:0000617
GABA-ergic neuron	CL:0000617
inhibitory and excitatory neurons	CL:0000617
GABAergic cells	CL:0000617
GABAergic	CL:0000617
GABAergic neurons	CL:0000617
non-neuronal, glutamatergic, and GABAergic cell	CL:0000617
GABAergic midbrain cells	CL:0000617
GABA neurons	CL:0000617
GABAergic and unidentified neurons	CL:0000617
GABANs	CL:0000617
glutamatergic (left) and GABAergic neurons	CL:0000617
GABAergic (P < 1 x 10-10) and glutamatergic cells	CL:0000617
glutamatergic and GABAergic neuronal	CL:0000617
glutamaterigic and GABAergic	CL:0000617
Glutamatergic, GABAergic neuronal and non-neuronal cells	CL:0000617
Glutamatergic and GABAergic neurons	CL:0000617
sheath cell	CL:0000618
supporting cell (sensu Nematoda)	CL:0000619
support cell (sensu Nematoda)	CL:0000619
fusion competent myoblast	CL:0000621
acinar cell	CL:0000622
acinous cell	CL:0000622
acinic cell	CL:0000622
acinar (A) cells	CL:0000622
natural killer cell	CL:0000623
NK cell	CL:0000623
natural killer (NK) cells	CL:0000623
cytotoxic T and natural killer cells	CL:0000623
NK	CL:0000623
NK cells	CL:0000623
NK and myeloid cells	CL:0000623
natural killer cells	CL:0000623
Natural Killer (NK) Cell	CL:0000623
natural killer	CL:0000623
splenic cNK cells	CL:0000623
spleen NK cells	CL:0000623
spleen NK cell	CL:0000623
NKs	CL:0000623
CD8+ T and NK cells	CL:0000623
NK.cells.resting	CL:0000623
cytotoxic immune cells	CL:0000623
NK and T cells	CL:0000623
NKT	CL:0000623
NK-cell	CL:0000623
NK Cytotoxic	CL:0000623
Myeloid, and T/NK cells	CL:0000623
NCAM1+ NK cells	CL:0000623
resting NK cells	CL:0000623
T/NK cells	CL:0000623
T, B, and NK cells	CL:0000623
natural killers	CL:0000623
natural killer-cell	CL:0000623
natural-killer (NK) cells	CL:0000623
T and NK cells	CL:0000623
activated NK cells	CL:0000623
NK and T cell	CL:0000623
NK_cells	CL:0000623
intrahepatic NK cells	CL:0000623
intrahepatic NK cell	CL:0000623
hepatic NK cells	CL:0000623
B, plasma, and T/NK cells	CL:0000623
NK/T cells	CL:0000623
NK/NKT and CD4+ T cells	CL:0000623
natural killer (NK) and natural killer T (NKT) cells	CL:0000623
NK-cells	CL:0000623
T- and NK cells	CL:0000623
interferon-gamma-secreting NK cells	CL:0000623
natural killer and T cells	CL:0000623
NKT cells	CL:0000623
NKT cell	CL:0000623
T, B, NK, and Treg lymphocyte	CL:0000623
NK lymphocyte	CL:0000623
CD4-positive, alpha-beta T cell	CL:0000624
CD4-positive, alpha-beta T-lymphocyte	CL:0000624
CD4-positive, alpha-beta T-cell	CL:0000624
CD4-positive, alpha-beta T lymphocyte	CL:0000624
CD4+	CL:0000624
CD4+ T cell	CL:0000624
CD4+T	CL:0000624
CD4+ and CD8+ T cells	CL:0000624
CD4+ to CD8+ T-cell	CL:0000624
CD4+ T lymphocyte	CL:0000624
CD4+ and CD8+ T cell	CL:0000624
CD4+ (C) and CD8+ (D) T cells	CL:0000624
CD4+ (E) and CD8+ (F) T cell	CL:0000624
CD4+ (G) and CD8+ (H) T cells	CL:0000624
peripheral blood CD4+ T cell	CL:0000624
CD4+ T cells	CL:0000624
CD4 alphabeta T cells	CL:0000624
CD4 T cells	CL:0000624
CD4 T	CL:0000624
CD4/CD8 T cells	CL:0000624
CD4 and CD8+ T cell	CL:0000624
CD4+ and CD8+	CL:0000624
Cd4+ Ts	CL:0000624
CD4 (upper panels) and CD8 (lower panels) T cell	CL:0000624
CD4+ T-cell	CL:0000624
CD8+ and CD4+ T cells	CL:0000624
Tconv	CL:0000624
Tconvs	CL:0000624
CD4+ Tconv and Treg cells	CL:0000624
CD4+ Tconv cells	CL:0000624
CD4+CD161+ Tconv cells	CL:0000624
CD4 and CD8 T cells	CL:0000624
CD4+ naive (CD4NA), central memory, regulatory, effector memory (CD4TEM) and cytotoxic T cells (CD4CTL)	CL:0000624
CD4+ and CD25+ T-cell	CL:0000624
nonnaive CD4+ T cells	CL:0000624
CD8+ and CD4+ T cell	CL:0000624
CD4 + T cells	CL:0000624
CD4T	CL:0000624
CD4 T cell	CL:0000624
resting CD4 T cells	CL:0000624
CD4+ conventional T cells	CL:0000624
CD19+ or CD4+ lymphocyte	CL:0000624
CD4+ or CD8+ T cells	CL:0000624
CD4+, CD8+, and CD19+ lymphocytes	CL:0000624
NK/NKT and CD4+ T cells	CL:0000624
CD4+ (T4) and CD8+ (T8) T cells	CL:0000624
CD4 T-cells	CL:0000624
CD4+ T lymphocytes	CL:0000624
CD8-positive, alpha-beta T cell	CL:0000625
CD8-positive, alpha-beta T lymphocyte	CL:0000625
CD8-positive, alpha-beta T-cell	CL:0000625
CD8-positive, alpha-beta T-lymphocyte	CL:0000625
CD8+ T cell	CL:0000625
CD4+ and CD8+ T cells	CL:0000625
CD4+ to CD8+ T-cell	CL:0000625
CD8+ T cells	CL:0000625
CD4+ and CD8+ T cell	CL:0000625
CD4+ (C) and CD8+ (D) T cells	CL:0000625
CD4+ (E) and CD8+ (F) T cell	CL:0000625
CD4+ (G) and CD8+ (H) T cells	CL:0000625
CD8 alphabeta T cells	CL:0000625
CD8 + T cell	CL:0000625
CD8 T	CL:0000625
CD8 T cell	CL:0000625
CD4/CD8 T cells	CL:0000625
CD4 and CD8+ T cell	CL:0000625
CD4+ and CD8+	CL:0000625
Cd8+ Ts	CL:0000625
CD4 (upper panels) and CD8 (lower panels) T cell	CL:0000625
CD8 T-cells	CL:0000625
CD8+ T lymphocytes	CL:0000625
CD8+ and CD4+ T cells	CL:0000625
mCD8 T	CL:0000625
Mature CD8 T cell	CL:0000625
CD8+ T and NK cells	CL:0000625
CD4 and CD8 T cells	CL:0000625
CD8+ naive (CD8NA), effector memory, and cytotoxic T cells (TCs)	CL:0000625
T.cells.CD8	CL:0000625
CD8 T cells	CL:0000625
CD8+T cells	CL:0000625
nonnaive CD8+ T cells	CL:0000625
CD8+ and CD4+ T cell	CL:0000625
CD8+ cells	CL:0000625
CD8T	CL:0000625
CD8 + T cells	CL:0000625
CD8 cells	CL:0000625
CD8 positive T cells	CL:0000625
CD8 T-cell	CL:0000625
CD8+T cell	CL:0000625
CD8+	CL:0000625
CD4+ or CD8+ T cells	CL:0000625
CD4+, CD8+, and CD19+ lymphocytes	CL:0000625
CD8+ T-cell	CL:0000625
CD3 + or CD8 + T lymphocytes	CL:0000625
CD4+ (T4) and CD8+ (T8) T cells	CL:0000625
CD8+ lymphocytes	CL:0000625
CDT2 cell	CL:0000625
olfactory granule cell	CL:0000626
olfactory bulb granule cell	CL:0000626
EGCs	CL:0000626
EGC	CL:0000626
transporting cell	CL:0000627
photosynthetic cell	CL:0000628
storage cell	CL:0000629
supporting cell	CL:0000630
supportive cell	CL:0000630
supporting somatic cells	CL:0000630
labyrinth supporting cell	CL:0000631
hepatic stellate cell	CL:0000632
perisinusoidal cell	CL:0000632
hepatic perisinusoidal cell	CL:0000632
Ito cell	CL:0000632
hepatic stellate cells	CL:0000632
HSCs	CL:0000632
HSC	CL:0000632
activated HSCs	CL:0000632
aHSCs	CL:0000632
Hensen cell	CL:0000633
Hensen's cell	CL:0000633
cell of Hensen	CL:0000633
external limiting cell of organ of Corti	CL:0000633
Hensen's cells	CL:0000633
HeC	CL:0000633
Claudius cell	CL:0000634
cell of Claudius	CL:0000634
Bottcher and Claudius cells	CL:0000634
CC	CL:0000634
Claudius cells	CL:0000634
Deiter's cell	CL:0000635
outer phalangeal cell	CL:0000635
Deiters cell	CL:0000635
Deiters' cells	CL:0000635
Deiter' cells	CL:0000635
DCs	CL:0000635
Mueller cell	CL:0000636
Müller cell	CL:0000636
Muller glia	CL:0000636
Muller cell	CL:0000636
retinal Muller glia	CL:0000636
MG and MPC cells	CL:0000636
MG	CL:0000636
Sox9+ Muller glia	CL:0000636
chromophil cell of anterior pituitary gland	CL:0000637
acidophil cell of pars distalis of adenohypophysis	CL:0000638
pituitary alpha cell	CL:0000638
acidophil of pars distalis of adenohypophysis	CL:0000638
acidophil of pars anterior of adenohypophysis	CL:0000638
acidophil cell of pars anterior of adenohypophysis	CL:0000638
basophil cell of pars distalis of adenohypophysis	CL:0000639
basophil cell of anterior lobe of hypophysis	CL:0000639
chromophobe cell	CL:0000641
chromophobic cell	CL:0000641
folliculostellate cell	CL:0000642
folliculo-stellate cell	CL:0000642
pituitary folliculostellate cell	CL:0000642
folliculo-stellate cells	CL:0000642
Bergmann glial cell	CL:0000644
Bergmann astrocyte	CL:0000644
Bergmann glial cell of cerebellum	CL:0000644
pituicyte	CL:0000645
pituicytes	CL:0000645
basal cell	CL:0000646
basal cells	CL:0000646
BC	CL:0000646
basal or luminal cells	CL:0000646
basal keratinocytes	CL:0000646
BasalK	CL:0000646
Basal	CL:0000646
basal, suprabasal and superficial cells	CL:0000646
BE cell	CL:0000646
multinucleated giant cell	CL:0000647
syncytial giant cell	CL:0000647
Langerhans giant cell	CL:0000647
macrophage polykaryon	CL:0000647
multinucleate giant cell	CL:0000647
foreign body giant cell	CL:0000647
kidney granular cell	CL:0000648
renin secreting cell	CL:0000648
JG cell	CL:0000648
prickle cell	CL:0000649
prickle cell of epidermis	CL:0000649
mesangial cell	CL:0000650
kidney mesangial cell	CL:0000650
mesangial cells	CL:0000650
MES	CL:0000650
mucous neck cell	CL:0000651
pinealocyte	CL:0000652
podocyte	CL:0000653
kidney podocyte	CL:0000653
glomerular visceral epithelial cell	CL:0000653
glomerular podocyte	CL:0000653
renal podocyte	CL:0000653
podocytes	CL:0000653
PODO	CL:0000653
podocyte cell	CL:0000653
primary oocyte	CL:0000654
primary oocytes	CL:0000654
secondary oocyte	CL:0000655
secondary oocytes	CL:0000655
primary spermatocyte	CL:0000656
primary spermatocytes	CL:0000656
secondary spermatocyte	CL:0000657
secondary spermatocytes	CL:0000657
cuticle secreting cell	CL:0000658
eggshell secreting cell	CL:0000659
glycocalyx secreting cell	CL:0000660
distal tip cell (sensu Nematoda)	CL:0000661
neuroglioblast (sensu Nematoda)	CL:0000662
fenestrated endothelial cell	CL:0000666
window cell	CL:0000666
collagen secreting cell	CL:0000667
pericyte	CL:0000669
cell of Rouget	CL:0000669
adventitial reticular cell	CL:0000669
ARC	CL:0000669
pericyte cell	CL:0000669
pericyte of Rouget	CL:0000669
pericytes	CL:0000669
PeriC	CL:0000669
Peri	CL:0000669
PC	CL:0000669
PCs	CL:0000669
P	CL:0000669
primordial germ cell	CL:0000670
gonocyte	CL:0000670
primitive germ cell	CL:0000670
hPGCs	CL:0000670
gonocytes	CL:0000670
prespermatogonia	CL:0000670
PGCs	CL:0000670
PGC	CL:0000670
germinal	CL:0000670
primordial germ cells	CL:0000670
fetal germ cells	CL:0000670
centripetally migrating follicle cell	CL:0000671
centripetal follicle cell	CL:0000671
Kenyon cell	CL:0000673
interfollicle cell	CL:0000674
stalk cell	CL:0000674
stalk follicle cell	CL:0000674
female gamete	CL:0000675
cap cell	CL:0000676
gut absorptive cell	CL:0000677
absorptive enterocytes	CL:0000677
absorptive cell	CL:0000677
absorptive cells	CL:0000677
commissural neuron	CL:0000678
glutamatergic neuron	CL:0000679
inhibitory and excitatory neurons	CL:0000679
glutamatergic	CL:0000679
glutamatergic neurons	CL:0000679
non-neuronal, glutamatergic, and GABAergic cell	CL:0000679
GLUTNs	CL:0000679
glutamatergic (left) and GABAergic neurons	CL:0000679
GABAergic (P < 1 x 10-10) and glutamatergic cells	CL:0000679
glutamatergic and GABAergic neuronal	CL:0000679
glutamaterigic and GABAergic	CL:0000679
Glutamatergic, GABAergic neuronal and non-neuronal cells	CL:0000679
glutamatergic (putatively excitatory) neurons	CL:0000679
Glutamatergic and GABAergic neurons	CL:0000679
muscle precursor cell	CL:0000680
MPCs	CL:0000680
radial glial cell	CL:0000681
RGC	CL:0000681
radial glial	CL:0000681
M cell of gut	CL:0000682
M-cell	CL:0000682
microfold cell	CL:0000682
ependymoglial cell	CL:0000683
ependymal astrocyte	CL:0000683
littoral cell of liver	CL:0000684
cerebrospinal fluid secreting cell	CL:0000686
CSF cells	CL:0000686
R1 photoreceptor cell	CL:0000687
R1 cell	CL:0000687
perijunctional fibroblast	CL:0000688
myoendocrine cell	CL:0000689
R2 photoreceptor cell	CL:0000690
R2 cell	CL:0000690
stellate interneuron	CL:0000691
basket and stellate interneurons	CL:0000691
terminal Schwann cell	CL:0000692
perisynaptic Schwann cell	CL:0000692
teloglia	CL:0000692
neurogliaform cell	CL:0000693
NGF cell	CL:0000693
neuroglioform cell	CL:0000693
spiderweb cell	CL:0000693
R3 photoreceptor cell	CL:0000694
R3 cell	CL:0000694
Cajal-Retzius cell	CL:0000695
CR cells	CL:0000695
Horizontal cells of Cajal	CL:0000695
CR	CL:0000695
Cajal-Retzius cells	CL:0000695
PP cell	CL:0000696
type F enteroendocrine cell	CL:0000696
R4 photoreceptor cell	CL:0000697
R4 cell	CL:0000697
paraganglial type 1 cell	CL:0000699
dopaminergic neuron	CL:0000700
dopaminergic cell	CL:0000700
DANs	CL:0000700
Dopaminergic neurons	CL:0000700
dopaminergic	CL:0000700
paraganglia type 2 cell	CL:0000701
R5 photoreceptor cell	CL:0000702
R5 cell	CL:0000702
sustentacular cell	CL:0000703
sustentacular cells	CL:0000703
endothelial tip cell	CL:0000704
R6 photoreceptor cell	CL:0000705
R6 cell	CL:0000705
choroid plexus epithelial cell	CL:0000706
epithelial cell of choroid plexus	CL:0000706
cpEpithelial cells	CL:0000706
choroid plexus epithelial cells	CL:0000706
CPC	CL:0000706
R7 photoreceptor cell	CL:0000707
R7 cell	CL:0000707
leptomeningeal cell	CL:0000708
R8 photoreceptor cell	CL:0000709
R8 cell	CL:0000709
neurecto-epithelial cell	CL:0000710
cumulus cell	CL:0000711
cumulus GC	CL:0000711
cumulus cells	CL:0000711
stratum granulosum cell	CL:0000712
corona radiata cell	CL:0000713
embryonic crystal cell	CL:0000715
lymph gland crystal cell	CL:0000716
compound eye cone cell	CL:0000718
Semper cell	CL:0000718
posterior cone cell (sensu Endopterygota)	CL:0000719
anterior cone cell (sensu Endopterygota)	CL:0000720
equatorial cone cell (sensu Endopterygota)	CL:0000721
cystoblast	CL:0000722
somatic stem cell	CL:0000723
somatic SCs	CL:0000723
heterocyst	CL:0000724
nitrogen fixing cell	CL:0000725
chlamydospore	CL:0000726
leading edge cell	CL:0000730
urothelial cell	CL:0000731
urothelial cells	CL:0000731
amoeboid cell	CL:0000732
lymph gland plasmatocyte	CL:0000733
lymph gland hemocyte	CL:0000735
striated muscle cell	CL:0000737
leukocyte	CL:0000738
leucocyte	CL:0000738
white blood cell	CL:0000738
leukocytes	CL:0000738
white blood cells	CL:0000738
WBC	CL:0000738
WBCs	CL:0000738
Leucocytes	CL:0000738
LEUK	CL:0000738
leukocyte cell	CL:0000738
Leuco-erythroid	CL:0000738
retinal ganglion cell	CL:0000740
gangliocyte	CL:0000740
ganglion cell of retina	CL:0000740
RGCs	CL:0000740
amacrine, ganglion, horizontal cells	CL:0000740
ganglion cells	CL:0000740
retinal ganglion cells	CL:0000740
RGC cells	CL:0000740
RGC	CL:0000740
ganglion cell	CL:0000740
spinal accessory motor neuron	CL:0000741
SACMN	CL:0000741
periarticular chondrocyte	CL:0000742
hypertrophic chondrocyte	CL:0000743
HTC	CL:0000743
hypertrophic chondrocytes	CL:0000743
HTCs	CL:0000743
columnar chondrocyte	CL:0000744
retina horizontal cell	CL:0000745
horizontal cell	CL:0000745
horizontal cells	CL:0000745
amacrine, ganglion, horizontal cells	CL:0000745
HCs	CL:0000745
HC	CL:0000745
cardiac muscle cell	CL:0000746
cardiac myocyte	CL:0000746
cardiac muscle fiber	CL:0000746
cardiomyocyte	CL:0000746
heart muscle cell	CL:0000746
cardiomyocytes	CL:0000746
CM	CL:0000746
cardiac muscle cells	CL:0000746
HEART MUSCLE - myocytes	CL:0000746
CMs	CL:0000746
cyanophore	CL:0000747
retinal bipolar neuron	CL:0000748
bipolar cells	CL:0000748
Bipolar cell	CL:0000748
photoreceptor and bipolar cell	CL:0000748
BC	CL:0000748
BCs	CL:0000748
ON-bipolar cell	CL:0000749
ON bipolar cells	CL:0000749
ON (purple) and OFF (gold) bipolar cells	CL:0000749
OFF-bipolar cell	CL:0000750
OFF bipolar cells	CL:0000750
ON (purple) and OFF (gold) bipolar cells	CL:0000750
Off-bipolar	CL:0000750
Off-bipolar cells	CL:0000750
rod bipolar cell	CL:0000751
Rod BPs	CL:0000751
cone retinal bipolar cell	CL:0000752
cone bipolar cell	CL:0000752
cone BP cells	CL:0000752
CBCs	CL:0000752
type 1 cone bipolar cell (sensu Mus)	CL:0000753
DB1 cone bipolar cell	CL:0000753
type 2 cone bipolar cell (sensu Mus)	CL:0000754
FMB cone bipolar cell	CL:0000754
type 2 CBCs	CL:0000754
type 2 CBC	CL:0000754
type 3 cone bipolar cell (sensu Mus)	CL:0000755
DB2 cone bipolar cell	CL:0000755
type 4 cone bipolar cell (sensu Mus)	CL:0000756
DB3 cone bipolar cell	CL:0000756
type 5 cone bipolar cell (sensu Mus)	CL:0000757
DB4 cone bipolar cell	CL:0000757
type 6 cone bipolar cell (sensu Mus)	CL:0000758
DB5 cone bipolar cell	CL:0000758
type 7 cone bipolar cell (sensu Mus)	CL:0000759
IMB cone bipolar cell	CL:0000759
type 8 cone bipolar cell (sensu Mus)	CL:0000760
DB6 cone bipolar cell	CL:0000760
type 9 cone bipolar cell (sensu Mus)	CL:0000761
BB cone bipolar cell	CL:0000761
nucleated thrombocyte	CL:0000762
myeloid cell	CL:0000763
lymphoid or myeloid cell	CL:0000763
myeloid cells	CL:0000763
NK and myeloid cells	CL:0000763
lymphoid and myeloid cells	CL:0000763
lymphoid or myeloid cells	CL:0000763
myeloid	CL:0000763
My	CL:0000763
T, B, and myeloid cells	CL:0000763
non-DC myeloid cell	CL:0000763
Mye	CL:0000763
Myeloid, and T/NK cells	CL:0000763
myeloid, endothelial, and smooth muscle cells	CL:0000763
myeloid lineage cells	CL:0000763
lymphoid and myeloid cell	CL:0000763
MYEs	CL:0000763
erythroid lineage cell	CL:0000764
erythropoietic cell	CL:0000764
erythroid	CL:0000764
Ery	CL:0000764
erythroid cells	CL:0000764
erythroid cell	CL:0000764
erythroid-lineage cells	CL:0000764
erythroid-differentiated myeloid cells	CL:0000764
EDMCs	CL:0000764
Leuco-erythroid	CL:0000764
granulocytic (G), monocytic (M), erythroid (E), and megakaryocytic (Mk) cells	CL:0000764
G, M, E, and Mk cells	CL:0000764
erythroblast	CL:0000765
normoblast	CL:0000765
erythroblasts	CL:0000765
erythroblastic	CL:0000765
myeloid leukocyte	CL:0000766
blood CD11b myeloid cells	CL:0000766
myeloid immune cells	CL:0000766
basophil	CL:0000767
basophilic leukocyte	CL:0000767
basophilic leucocyte	CL:0000767
basophils	CL:0000767
basophilic	CL:0000767
B	CL:0000767
basophil/mast cells	CL:0000767
immature basophil	CL:0000768
immature basophilic leukocyte	CL:0000768
immature basophilic leucocyte	CL:0000768
basophilic metamyelocyte	CL:0000769
band form basophil	CL:0000770
eosinophil	CL:0000771
eosinophilic leukocyte	CL:0000771
eosinophilic granulocyte	CL:0000771
eosinophilic leucocyte	CL:0000771
eosinocyte	CL:0000771
eosinophils	CL:0000771
eosinophilic	CL:0000771
Eosinophil degranulation	CL:0000771
immature eosinophil	CL:0000772
immature eosinophilic leucocyte	CL:0000772
immature eosinocyte	CL:0000772
immature eosinophilic leukocyte	CL:0000772
eosinophilic metamyelocyte	CL:0000773
band form eosinophil	CL:0000774
neutrophil	CL:0000775
neutrophil leucocyte	CL:0000775
neutrocyte	CL:0000775
neutrophil leukocyte	CL:0000775
neutrophilic leukocyte	CL:0000775
neutrophilic leucocyte	CL:0000775
neutrophils	CL:0000775
NEUs	CL:0000775
NEU	CL:0000775
NTPs	CL:0000775
phagocytic innate immune cells	CL:0000775
Neut	CL:0000775
neutrophil cell	CL:0000775
NE	CL:0000775
immature neutrophil	CL:0000776
immature neutrophilic leucocyte	CL:0000776
immature neutrophil leucocyte	CL:0000776
immature neutrocyte	CL:0000776
immature neutrophil leukocyte	CL:0000776
immatuer neutrophilic leukocyte	CL:0000776
mesangial phagocyte	CL:0000777
mononuclear osteoclast	CL:0000778
mononuclear, monocyte-derived, macrophage precursors	CL:0000778
osteoclast precursors	CL:0000778
multinuclear osteoclast	CL:0000779
multinucleated osteoclast	CL:0000779
multinuclear odontoclast	CL:0000780
multinucleated odontoclast	CL:0000780
mononuclear odontoclast	CL:0000781
myeloid dendritic cell	CL:0000782
mDC	CL:0000782
CD11c+CD123- DC	CL:0000782
myeloid dendritic cells	CL:0000782
mDCs	CL:0000782
myeloid DCs	CL:0000782
multinucleated phagocyte	CL:0000783
plasmacytoid dendritic cell	CL:0000784
DC2	CL:0000784
IPC	CL:0000784
pDC	CL:0000784
interferon-producing cell	CL:0000784
plasmacytoid monocyte	CL:0000784
plasmacytoid T cell	CL:0000784
T-associated plasma cell	CL:0000784
type 2 DC	CL:0000784
lymphoid dendritic cell	CL:0000784
plasmacytoid DCs	CL:0000784
pDCs	CL:0000784
plasmacytoid dendritic cells	CL:0000784
plasmacytoid DC	CL:0000784
plasmacytoid/conventional dendritic cells	CL:0000784
plasmacytoid dendrite cells	CL:0000784
DC plasmacytoid	CL:0000784
type 2 dendritic cells	CL:0000784
DC	CL:0000784
mature B cell	CL:0000785
mature B-lymphocyte	CL:0000785
mature B-cell	CL:0000785
mature B lymphocyte	CL:0000785
mB-cells	CL:0000785
mature B-cells	CL:0000785
mature B cells	CL:0000785
nonnaive B cells	CL:0000785
plasma cell	CL:0000786
plasma B cell	CL:0000786
plasma B-cell	CL:0000786
plasmocyte	CL:0000786
plasmacyte	CL:0000786
plasma cells	CL:0000786
CD20- plasma cells	CL:0000786
Plasma	CL:0000786
Plasma.cells	CL:0000786
MZB1+ plasma cells	CL:0000786
memory B and plasma cells	CL:0000786
PC	CL:0000786
B, plasma, and T/NK cells	CL:0000786
PCs	CL:0000786
memory B cell	CL:0000787
memory B-cell	CL:0000787
memory B-lymphocyte	CL:0000787
memory B lymphocyte	CL:0000787
memory B cells	CL:0000787
GC, memory and ASC	CL:0000787
MBCs	CL:0000787
MBC	CL:0000787
'mature-naive' (CD27-) and 'memory' (CD27+) B-cells	CL:0000787
CD27+/IGHD-(IgD)/IGHM-(IgM) memory B-cells	CL:0000787
Memory B-cells	CL:0000787
naive, memory, and DN2	CL:0000787
memory/DN2 B cells	CL:0000787
B cell memory	CL:0000787
memory B and plasma cells	CL:0000787
memory cells	CL:0000787
naive B cell	CL:0000788
naive B-lymphocyte	CL:0000788
naive B-cell	CL:0000788
naive B lymphocyte	CL:0000788
naive B cells	CL:0000788
antigen naive B cells	CL:0000788
NBCs	CL:0000788
'mature-naive' (CD27-) and 'memory' (CD27+) B-cells	CL:0000788
mature-naive B-cells	CL:0000788
resting naive (RN) B cells	CL:0000788
naive, memory, and DN2	CL:0000788
B.cells.naive	CL:0000788
Naive-mature B cell	CL:0000788
IgMlo compared with IgMhi TS (CD27-IgD+CD10+) and naive (CD27-IgD+CD10-) cells	CL:0000788
naive mature B cells	CL:0000788
naive	CL:0000788
Mature naive B cells	CL:0000788
alpha-beta T cell	CL:0000789
alpha-beta T-lymphocyte	CL:0000789
alpha-beta T-cell	CL:0000789
alpha-beta T lymphocyte	CL:0000789
alpha-beta T (abT) cells	CL:0000789
abT cells	CL:0000789
abT	CL:0000789
DP and abT stage T cells	CL:0000789
conventional T cell	CL:0000789
immature alpha-beta T cell	CL:0000790
immature alpha-beta T lymphocyte	CL:0000790
immature alpha-beta T-cell	CL:0000790
immature alpha-beta T-lymphocyte	CL:0000790
mature alpha-beta T cell	CL:0000791
mature alpha-beta T-lymphocyte	CL:0000791
mature alpha-beta T lymphocyte	CL:0000791
mature alpha-beta T-cell	CL:0000791
